姓名,性别,年龄,头像,生日,星座,粉丝数,关注数,被赞数,注册时间,签名描述,主页url
id,姓名,性别,年龄,头像,生日,星座,粉丝数,关注数,被赞数,注册时间,签名描述,主页url
﻿1003014894,辛曉琪,f,,http://mvavatar2.meitudata.com/5481ce2daca773705.jpg,,,61751,19,8690,2014-12-05 23:24:29,,http://www.meipai.com/user/1003014894?client_id=1089857299
﻿34583798,鲍小蕾同学,f,,http://mvavatar2.meitudata.com/5399b2064d0302559.jpg,,,3482138,9,317958,2014-06-12 21:58:30,,http://www.meipai.com/user/34583798?client_id=1089857299
﻿56859067,李维嘉,m,,http://mvavatar1.meitudata.com/53fc2fac898323087.jpg,,,7256165,2,421926,2014-08-26 14:56:44,,http://www.meipai.com/user/56859067?client_id=1089857299
﻿21885481,陳小春,m,4,http://mvavatar2.meitudata.com/5754da85d249c871.jpg,2013-07-01,Cancer,6288358,34,1159688,2014-05-18 14:17:04,,http://www.meipai.com/user/21885481?client_id=1089857299
﻿39462586,Karen莫文蔚,f,,http://mvavatar1.meitudata.com/54abccc0bee398327.jpg,,,6818907,1,550968,2014-06-04 17:13:00,,http://www.meipai.com/user/39462586?client_id=1089857299
﻿21253869,陈坤,m,,http://mvavatar2.meitudata.com/556fe0eb657872246.jpg,,,27053503,58,1356852,2014-05-16 14:39:57,,http://www.meipai.com/user/21253869?client_id=1089857299
﻿1160309,黑人建州,m,,http://mvavatar1.meitudata.com/53660d3cd5f248359.jpg,,,14876020,34,10499296,2014-05-04 17:49:48,,http://www.meipai.com/user/1160309?client_id=1089857299
﻿1004825,李晨nic,m,35,http://mvavatar2.meitudata.com/5650740f885e67524.jpg,1982-08-28,Virgo,18229417,406,5143413,2014-04-13 22:40:29,,http://www.meipai.com/user/1004825?client_id=1089857299
﻿67163700,美拍影视,m,,http://maavatar1.meitudata.com/577e165f7d78f2325.jpg,,,5677021,184,1597369,2014-10-24 09:47:49,,http://www.meipai.com/user/67163700?client_id=1089857299
﻿1135058,李小璐Super璐,f,,http://mvavatar2.meitudata.com/5364d546e61806223.jpg,,,32300072,152,18303258,2014-05-03 19:38:46,,http://www.meipai.com/user/1135058?client_id=1089857299
﻿44974066,美拍精彩合集,f,,http://mvavatar2.meitudata.com/56cd747c75b068326.jpg,,,24876440,3,17101964,2014-07-11 11:20:24,,http://www.meipai.com/user/44974066?client_id=1089857299
﻿39366634,SwaggyT-ao,m,,http://mvavatar1.meitudata.com/5a5f6842659b33694.jpg,,,21042813,0,4077187,2014-06-06 10:56:28,,http://www.meipai.com/user/39366634?client_id=1089857299
﻿21708552,曹小格,m,,http://mvavatar2.meitudata.com/564703e276fa82321.jpg,,,27041759,16,16168141,2014-05-17 22:22:48,,http://www.meipai.com/user/21708552?client_id=1089857299
﻿24039774,张庭,f,,http://mvavatar1.meitudata.com/5382b921c31734119.jpg,,,4859259,1,387280,2014-05-26 11:46:41,,http://www.meipai.com/user/24039774?client_id=1089857299
﻿10000,美拍小助手,f,19,http://maavatar1.meitudata.com/5b0a16d70f6d1422.jpg,1999-01-01,Capricorn,99999999,14,19276557,2014-01-03 15:28:32,,http://www.meipai.com/user/10000?client_id=1089857299
﻿33146063,谢娜,f,,http://mvavatar1.meitudata.com/53a83134d427a4024.jpg,,,13593150,0,3009475,2014-06-23 21:52:52,,http://www.meipai.com/user/33146063?client_id=1089857299
